,stockpx,iv30,iv60,diff,"diff, %",iv90,m1atmiv,m1dtex,m2atmiv,m2dtex,m3atmiv,m3dtex,m4atmiv,m4dtex,slope,deriv,slope_inf,deriv_inf,10dclsHV,20dclsHV,60dclsHV,120dclsHV,252dclsHV,10dORHV,20dORHV,60dORHV,120dORHV,252dORHV
NNDM,3.11,57.04,47.96,9.08,16%,45.85,58.61,12,44.07,40,43.53,131,48.18,194,-1.37223,0.0002,0.44895,0.0352,68.34,65.16,45.31,55.1,51.34,76.01,64.7,48.68,57.77,56.86
ACHR,4.48,118.65,109.67,8.98,8%,103.16,128.12,12,115.28,40,100.87,103,96.91,194,-0.09717,0.0006,-0.13779,0.0516,121.57,131.76,106.22,92.07,81.32,147.22,135.82,111.12,97.41,89.28
PINS,28.62,55.91,46.98,8.93,16%,46.07,35.87,12,51.44,40,46.05,68,46.1,131,0.33822,0.0706,1.87616,0.0805,41.47,36.5,46.43,44.67,57.73,41.88,40.39,45.43,45.69,54.9
COIN,89.15,101.15,92.26,8.89,9%,88.78,93.96,12,98.87,40,90.61,68,84.43,159,-1.20344,0.0835,1.68877,0.0868,83.02,70.01,83.56,101.05,103.66,98.54,86.23,85.83,104.56,108.98
HOOD,11.83,76.36,67.48,8.88,12%,64.14,58.14,12,72.69,40,65.73,68,61.8,131,-3.41529,0.142,-1.74047,0.1473,47.51,42.78,43.53,44.54,55.88,60.54,51.6,47.98,51.09,63.37
SOFI,9.07,80.66,71.91,8.75,11%,68.54,66.18,12,76.93,40,67.36,103,65.69,159,-0.31688,0.0556,1.00039,0.0719,61.19,73.64,76.54,67.65,70.76,72.37,79.26,79.76,72.26,72.68
CLSK,6.42,123.7,115.1,8.6,7%,111.24,115.1,12,126.76,40,111.69,68,110.17,159,-1.29811,0.187,1.2075,0.0709,84.14,91.14,102.01,104.52,101.24,119.26,113.45,115.43,113.44,108.52
FSR,6.74,120.86,112.35,8.51,7%,109.98,98.53,12,112.49,40,107.37,131,103.48,194,-2.6083,0.1074,0.55413,0.1337,86.81,87.4,95.9,95.85,77.23,100.85,89.86,98.13,94.85,82.07
META,298.29,50.51,42,8.51,17%,39.16,34.9,12,46.54,40,40.84,68,38.37,103,0.43598,0.0485,1.94154,0.0687,24.34,26.25,35.89,48.62,56,30.23,32.53,32.89,40.57,47.52
W,68,91,82.55,8.45,9%,80.03,72.97,12,86.67,40,77.26,131,73.17,194,-0.24571,0.0448,0.53559,0.0998,89.4,67.01,77.19,99.03,99.84,83.51,72.12,79.98,96.98,101.67
ETSY,93.71,62.59,54.38,8.21,13%,52.54,49.01,12,59.17,40,53.18,68,51.01,159,-0.04927,0.061,1.89987,0.0817,53.05,48.58,45.11,44.87,52.96,47.75,45.98,46.98,49.25,56.11
U,43.82,80.16,72.03,8.13,10%,69.67,61.53,12,75.17,40,67.09,131,63.69,194,-0.44369,0.049,0.87852,0.0567,92.15,80.28,78.6,82.37,85.8,76.49,75.83,76.8,82.99,87.27
PLYA,8.14,47.26,39.15,8.11,17%,39.2,70.22,12,39.1,40,39.25,131,37.31,222,0.00025,0,0.16623,0,22.21,32.82,28.26,31.74,34.91,28.14,32.58,32.59,34.48,39.01
CIFR,4.04,133.59,125.61,7.98,6%,123.39,139.76,12,131.4,40,123.91,68,122.16,159,-2.21878,0.004,-1.43883,0.0662,112.25,116.26,106.04,151.17,142.65,145.76,140.15,124.51,169.86,162.56
CSTL,19.68,81.65,73.71,7.94,10%,69.86,94.66,12,77.03,40,68.5,103,64.53,194,2.17099,0.1979,2.37295,0.082,254.35,189.01,165.51,123.05,99.45,148.39,113.95,153.18,117.23,101.58
BYND,15.46,127.99,120.05,7.94,6%,115.76,104.43,12,126.69,40,111.05,131,106.31,194,-2.11058,0.1372,-0.70346,0.0693,43.01,70.39,82.79,85.1,84.97,76.5,88.46,90.62,92.98,95.35
ABCM,24.08,58.57,50.72,7.85,13%,44.09,48.13,12,62.28,40,47.33,68,42.56,103,6.1921,0.0182,3.55808,0.7706,31.36,85.43,65.59,60.7,59.75,43.94,72.93,61.88,58.78,59.47
BWX,22.51,29.98,22.35,7.63,25%,19.86,45.41,12,24.5,40,18.98,103,18.03,194,0.21056,0.0005,4.92715,0.2668,8.74,7.91,8.82,10.41,12.6,7.92,7.41,9.42,10.77,13.23
WW,8.66,102.45,94.87,7.58,7%,91.21,90.15,12,102.09,40,89.92,103,89.42,194,0.91303,0.0941,1.08333,0.0962,51.69,56.75,94.91,170.46,133.53,86.56,73.08,101.11,124.99,108.57
TDOC,24.73,66.06,58.49,7.57,11%,55.24,48.08,12,63.52,40,54.1,103,53.67,194,0.38458,0.0878,1.43396,0.1277,60.88,48.1,45.49,52.88,61.7,55.05,46.41,48.24,56.35,64.94
DKNG,28.96,62.37,54.86,7.51,12%,53,47.31,12,58.95,40,53.63,68,52.7,103,0.49382,0.0601,2.03838,0.0743,52.55,44.29,52.18,56.04,70.96,50.47,45.46,52.2,58.16,73.14
RKLB,6.18,80.84,73.35,7.49,9%,69.01,91.38,12,77.09,40,67.49,103,62.96,194,-3.47094,0.2764,-1.37541,0.1891,48.29,61.9,52.64,53.13,63.48,56.07,67.42,60.17,61.53,71.03
Z,52.28,54.56,47.1,7.46,14%,45.9,43.82,12,51.03,40,46.01,68,45.73,131,0.14486,0.0476,1.9647,0.0709,63.07,50.18,43.23,42.01,49.61,56.21,49.37,43.69,44.78,52.59
IREN,6.75,124.32,116.86,7.46,6%,114.45,139.5,12,118.93,40,111.8,131,104.37,222,0.00056,0.0001,0.04849,0.017,112.22,126.13,110.16,149.45,135.8,148.97,143.05,123.12,152.56,142.95
WBX,4.92,99.91,92.47,7.44,7%,87.75,106.34,12,97.62,40,90.96,68,80.15,159,-3.44926,0,-0.01114,0,123.52,108.1,103.51,91.89,86.3,130.93,107.07,104.84,97.83,92.33
RIVN,24.85,93.52,86.08,7.44,8%,82.5,92.92,12,92.35,40,84.25,68,78.36,159,-1.86324,0.1095,-0.10438,0.0935,87.1,96.53,71.09,77.87,71.29,114.47,100.08,75.78,80.55,76.64
ERIC,5.52,43.9,36.47,7.43,17%,36.84,65.69,12,36.15,40,36.97,103,33.76,194,2.58467,0.0004,3.79085,0.0601,25.61,27.13,29.7,27.95,35.99,22.61,22.45,23.88,23.82,29.74
LCID,8.12,93.82,86.6,7.22,8%,84.33,88.23,12,89.72,40,81.82,131,78.6,194,-2.40657,0.1413,-0.4178,0.1391,64.94,70.56,75.34,96.56,83.56,90.56,80.86,76.55,103.58,89.91
RUN,18.8,81.46,74.25,7.21,9%,72.32,70.34,12,79.29,40,73.04,68,71.99,103,0.0741,0.1033,1.63345,0.0846,66.22,62.45,73.18,72.51,81.23,74.42,70.03,78.5,81.92,83.95
CWK,8.96,58.65,51.47,7.18,12%,47.19,68.44,12,55.17,40,42.48,131,46,159,-3.78129,0,4.75461,0,35.3,41.6,50.23,45.32,44.85,45.55,50.17,58.5,52.49,48.54
ANET,160.17,44.43,37.26,7.17,16%,36.3,30.31,12,40.83,40,36.43,68,36,159,1.34603,0.0364,2.48327,0.0642,22.45,33.35,52.93,44.17,42.09,27.61,35.3,45.3,42.73,41.47
NFLX,440.21,47.82,40.66,7.16,15%,40.51,66.77,12,44.41,40,39.71,68,40.89,103,0.4353,0.0513,1.93849,0.071,21.77,25.29,33.25,37.1,46.7,27.57,28.87,35.67,37.84,47.16
UBER,44.36,47.96,41.19,6.77,14%,39.42,34.92,12,44.88,40,40.25,68,39.04,103,0.58617,0.0832,2.14936,0.0831,35.63,34.7,40.32,40.4,50.95,39.85,39.64,40.46,49.78,52.93
ENVX,20.03,97.01,90.29,6.72,7%,85.11,78.96,12,94.2,40,83.28,103,85.12,194,-0.77358,0.0587,-0.51369,0.0845,116.36,105.75,85.72,87.1,108.42,112.41,99.47,92.38,92.47,109.21
