,stockpx,iv30,iv60,diff,"diff, %",iv90,m1atmiv,m1dtex,m2atmiv,m2dtex,m3atmiv,m3dtex,m4atmiv,m4dtex,slope,deriv,slope_inf,deriv_inf,10dclsHV,20dclsHV,60dclsHV,120dclsHV,252dclsHV,10dORHV,20dORHV,60dORHV,120dORHV,252dORHV
CFG,27.58,42.69,38.82,3.87,9%,39.11,48.67,12,40.57,40,38.31,68,39.49,103,3.29827,0.0944,5.04629,0.0994,27.01,34.06,45.47,44.23,37.77,35.43,46.28,50.14,47.85,40.54
GOOGL,117.14,32.45,28.59,3.86,12%,27.37,25.99,12,30.19,40,28.09,68,27.04,103,0.76427,0.0577,2.72082,0.1031,19.24,21.99,25.73,33.28,35.6,22.33,24.77,28.15,32.59,34.23
IPG,38.85,29.98,26.15,3.83,13%,25,37.95,12,27.15,40,24.6,103,24.16,194,2.3827,0.1336,3.01203,0.2015,19.75,18.45,24.88,24.21,26.41,19.76,20.58,25.28,25.58,27.55
C,46.53,29.28,25.47,3.81,13%,25.23,35.35,12,27.21,40,25.13,68,25.46,159,2.52614,0.036,4.18614,0.1755,20.23,17.44,24.55,28.79,30.94,23.07,21.52,25.3,28.7,30.8
GOOG,117.71,32.41,28.64,3.77,12%,27.34,25.94,12,30.43,40,28.15,68,26.95,103,0.78364,0.0592,2.77381,0.1062,21.1,22.81,26.02,33.67,35.99,22.96,24.92,27.86,32.58,34.29
ABNB,137.54,48.25,44.5,3.75,8%,42.1,41.1,12,48,40,43.62,68,41.38,103,0.85065,0.0395,2.10655,0.0554,36.75,36.1,43.32,47.93,49.5,43.87,40.45,42.86,46.1,49.72
STT,75.66,33.12,29.41,3.71,11%,29.05,42.72,12,29.71,40,28.65,131,29.29,194,3.19734,0.0362,4.7531,0.1176,18.01,20.14,31.87,33.65,35.76,21.82,24.14,32.92,36.1,36.93
TTD,82.69,56.46,52.78,3.68,7%,48.16,43.67,12,58.16,40,46.54,103,46.64,194,0.25095,0.0472,1.79114,0.0511,46.37,36.36,34.41,63.58,72.05,43.89,36.61,41,54.79,64.54
EBAY,46.9,31.53,27.86,3.67,12%,26.32,24.57,12,29.73,40,27.28,68,25.87,103,1.71515,0.0691,3.52215,0.0989,26.16,23.68,25.73,26.18,30.81,27.9,24.55,25.88,27.43,32.33
CZR,52.25,47.5,43.83,3.67,8%,43.5,42.08,12,46.04,40,43.13,68,44.37,159,0.76794,0.0492,2.25558,0.0945,42.69,42.68,46.15,45.97,55.44,42.44,41.6,46.96,48.53,57.86
TRUP,28.86,119.04,115.43,3.61,3%,109.11,113.85,12,120.88,40,102.15,131,97.18,159,1.92123,0.0842,2.43785,0.0945,77.87,107.12,103.87,94.09,83.68,106.16,121.12,112.8,99.42,90.18
OSCR,8.25,64.12,60.52,3.6,6%,57.48,66.86,12,63.15,40,56.4,103,67.28,194,5.77473,0,1.70412,0,45.12,51.13,61.18,114.92,94.14,50.47,58.75,70.29,100.38,88.92
KOS,6.47,50.76,47.17,3.59,7%,46.99,60.42,12,47.32,40,46.93,103,48.14,159,3.77343,0.0006,2.25784,0.0503,40.71,50.75,47.67,54.17,60.27,50.75,52.67,50.96,56,61.94
EH,15.45,102.9,99.32,3.58,3%,97.43,108.42,12,100.94,40,96.77,103,97.47,194,-1.82432,0.0969,-0.23182,0.062,73,95.85,73.17,90.8,114.03,83.19,106.16,83.35,100.94,119.51
CVS,71.27,27.54,23.96,3.58,13%,23.96,22.5,12,25.77,40,23.45,68,24.71,131,1.96437,0.0486,3.72297,0.1207,18.09,36,27.51,24.4,25.64,19.5,29.38,25.07,23.57,25.24
BX,98.47,35.01,31.43,3.58,10%,31.25,41.77,12,32.95,40,31.15,68,31.29,103,0.77131,0.0317,3.18578,0.0891,31.99,28.8,32.26,37.07,43.15,34.19,31.31,34.91,40.29,45.01
DT,54.97,42.42,38.87,3.55,8%,37.51,29.55,12,39.9,40,36.01,131,34.35,194,0.54857,0.0604,2.28971,0.0779,23.82,22.35,25.98,38.89,43.31,31.38,27.69,31.95,37.07,45.07
ELAN,10.5,51.54,48.05,3.49,7%,44.51,48.5,12,52.62,40,46.71,68,43.47,103,1.51082,0.0043,2.70375,0.0572,29.73,40.95,46.9,47.18,45.51,35.54,44.92,48.13,48,48.1
SBUX,100.09,26.96,23.47,3.49,13%,22.36,18.99,12,25.52,40,23.02,68,22.05,103,2.4405,0.0609,4.05081,0.1317,20.72,19.02,26.06,22.96,27.54,20.08,19.4,23.51,22.11,26.81
INVZ,3.37,91.77,88.28,3.49,4%,81.72,85.66,12,93.94,40,79.41,103,72.59,194,3.32471,0.0003,1.23232,0.0512,72.87,79.86,77.75,71.02,71.22,89.1,84.93,89.78,83.07,80.02
JBLU,9.04,43.73,40.26,3.47,8%,39.6,38.92,12,42.56,40,39.87,68,38.96,159,1.21891,0.1031,2.68187,0.1279,64.1,48.31,40.65,42.12,44.42,60.79,47.9,42.64,44.13,46.5
UWMC,5.68,42.9,39.46,3.44,8%,38.87,38.48,12,41.26,40,38.22,131,38.33,194,4.97753,0.0003,4.85578,0.0909,58.51,48.22,53.42,48.36,52.3,55.31,48.6,53.93,53.93,57.32
GT,14.29,50.32,46.89,3.43,7%,44.97,39.72,12,49.09,40,44.3,103,41.87,194,1.63299,0.1316,1.95447,0.066,32.8,43.79,59.56,50.84,51.02,35.39,44.81,52.48,48.01,49.17
INMD,40.74,46.78,43.4,3.38,7%,42.55,54.22,12,44.14,40,41.62,131,40.85,194,0.94929,0.114,1.61305,0.1727,24.65,27.51,36.74,44.51,56.4,33.81,33.63,38.13,44.94,58.08
SDGR,52.64,74.37,71.01,3.36,5%,69.23,69.84,12,75.98,40,69.55,68,68.45,159,-0.07079,0.0392,0.75069,0.0138,55.84,74.78,77.76,71.54,68.91,70.33,79.85,81.62,74.28,70.78
YETI,39.93,45.78,42.44,3.34,7%,41.61,33.82,12,45.85,40,40.71,131,38.7,194,2.16712,0.0502,2.938,0.0745,23.72,29.31,34.19,37.26,53.65,29.4,33.38,37.82,45.43,54.18
NEX,10.35,61.85,58.52,3.33,5%,53.98,60.22,12,62.43,40,52.38,103,56.39,131,0.03019,0.0004,1.87434,0.0232,40.32,63.28,55.68,58.62,61.75,57.3,66.67,59.7,62.27,65.13
CHRS,4.69,126.51,123.21,3.3,3%,119.78,127.52,12,126.15,40,116.02,131,113.45,159,-2.30443,0.0002,-0.99218,0.0265,69.69,105.88,103.87,85.39,84.21,87.11,106.73,106.67,90.84,89.7
USFR,50.42,22.38,19.08,3.3,15%,16.77,26.03,12,21.08,40,14.22,131,12.15,222,0,0,0,0,0.4,1.55,1.57,1.46,1.19,0.46,0.98,1.01,0.95,0.81
INFY,16.24,27.12,23.86,3.26,12%,23.26,34.88,12,24.37,40,23.05,103,23.29,194,1.91433,0.1895,3.46854,0.1447,11.64,18.88,18.16,23.37,25.34,14.47,18.53,17.45,20.45,22.54
RKT,10.04,48.68,45.44,3.24,7%,44.63,45.6,12,47.02,40,44.78,68,44.29,159,1.20945,0.2022,2.4457,0.1466,64.19,50.41,39.28,45.45,51.7,67.14,52.28,45.55,52.66,58.67
INFN,5.03,67.58,64.35,3.23,5%,60.38,67.05,12,67.77,40,58.99,103,57.48,159,-0.92241,0.0024,0.59505,0.1808,39.97,41.43,42.42,43.68,57.36,46.3,49.24,47.9,48.69,56.41
NVO,152.25,33.21,29.98,3.23,10%,27.82,27.34,12,34.51,40,29.26,68,27.14,103,3.13808,0.1175,3.41594,0.084,24.01,20.2,24.61,23.79,27.97,19.34,18.97,20.85,23.11,25.97
BTU,22.15,49.4,46.17,3.23,7%,44.66,38.1,12,48.78,40,44.12,103,45.56,194,1.033,0.0602,2.15037,0.0606,26.48,30.08,35.45,43.87,56.54,35.47,36.16,41.97,49.32,63.97
LMND,18.9,72.57,69.36,3.21,4%,68.62,67.32,12,73.58,40,68.58,68,68.72,159,1.07364,0.0632,1.45527,0.1004,58.35,62.48,87.71,77.6,75.48,62.68,67.21,81.59,79.58,79.62
SPDN,14.33,18.54,15.36,3.18,17%,14.84,26.21,12,15.82,40,14.65,103,16.13,194,-3.62801,0,-3.85974,0,9.21,10.33,11.63,14.17,18.54,9.07,10.36,11.38,14.57,18.55
ACWX,49.01,21.58,18.4,3.18,15%,18.08,31.81,12,17.94,40,18.54,68,16.98,159,0.00298,0.0003,2.42233,0.2629,14.15,13.98,13.94,13.85,17.54,10.83,10.47,10.77,11.87,15.37
TSM,101.26,32.63,29.48,3.15,10%,28.99,40.64,12,31,40,28.91,68,29.02,103,0.40152,0.0649,1.56255,0.0878,22.45,25.87,36.59,34.04,36.96,22.85,25.44,30.99,36.81,36.19
TXN,178.82,27.85,24.8,3.05,11%,23.93,22.29,12,26.27,40,24.35,68,23.74,103,1.97397,0.0307,3.63001,0.0778,30.61,28.67,25.79,24.18,28.37,27.75,25.87,25.72,26.22,29.58
RCL,101.28,41.95,38.91,3.04,7%,38.3,32.78,12,40.33,40,38.46,68,38.22,103,1.13521,0.0673,2.69387,0.0818,29.13,24.72,33.96,37.38,54.13,30.51,30.84,36.07,39.14,54.69
BAX,46.03,33.03,30.01,3.02,9%,29.46,26.68,12,31.44,40,28.85,131,27.97,194,2.12173,0.0621,3.6018,0.104,18.8,19.04,25.39,31.46,34.06,24.3,24.56,28.82,31.41,33.35
MRNA,122.13,48.09,45.08,3.01,6%,44.11,39.39,12,47.52,40,44.5,68,43.92,103,0.93771,0.0745,1.90025,0.0716,30.96,33.4,39.14,40.1,54.55,36.24,37.4,44.48,44.68,56.92
MGM,46.62,35.79,32.79,3,8%,32.2,30.28,12,34.26,40,32.35,68,31.84,159,1.4134,0.0535,3.44123,0.0905,35.37,34.63,32.76,30.93,37.29,35.29,32.45,32.57,32.09,38.32
BDN,4.71,46.21,43.27,2.94,6%,47.1,63.77,12,39.97,40,48.44,103,46.29,194,0,0,0,0,46.15,49.63,52.51,48.93,43.49,50.64,51.8,56.2,53.16,46.98
DBX,27.5,32.34,29.41,2.93,9%,28.17,23.98,12,31.57,40,27.73,103,28.81,131,2.09509,0.1301,2.14902,0.1484,12.19,19.04,27.41,31.42,30.83,20.13,25.43,28.03,31.31,31.76
USB,34.92,36.37,33.44,2.93,8%,33.02,46.16,12,35.01,40,33.23,68,32.53,159,3.61553,0.0861,5.66094,0.1534,23.51,29.4,41.6,45.1,37,28.68,35.08,45.22,45.61,37.69
DHR,237.67,26.95,24.03,2.92,11%,23.78,23.4,12,25.78,40,23.95,68,23.38,159,3.26414,0.0592,4.464,0.1495,17.3,18.46,25.77,23.29,29.9,22,25.3,27.65,25.73,30.05
KC,5.69,91.79,88.88,2.91,3%,86.24,93.58,12,91.15,40,83.33,131,77.76,194,0.90134,0.0001,1.40619,0.0114,84.63,114.71,108.68,105.32,107.28,80.72,103.41,99.1,100.17,105.59
CXM,14.3,44.78,41.88,2.9,6%,41.65,52.37,12,42.08,40,41.4,131,42.32,222,4.08061,0.0007,2.96544,0.0977,29.52,39.1,37.93,43.14,47.1,32.8,38.05,39.22,42.92,51.54
CI,281.74,28.18,25.28,2.9,10%,23.92,23.41,12,26.95,40,23.44,103,24.55,194,3.00403,0.0687,4.18196,0.1189,10.86,17.62,24.89,25.04,25.12,15.7,21.49,25.9,26.61,26.7
BABA,91.79,46.58,43.71,2.87,6%,42.31,44.76,12,45.77,40,43.07,68,41.95,103,-1.54446,0.0957,0.04067,0.0849,43.53,39.55,39.7,44.11,52.68,36.42,33.98,36.41,39.97,48.99
F,15.23,35.17,32.32,2.85,8%,32.37,29.09,12,34.15,40,32.01,68,33.22,159,1.48143,0.0764,2.93315,0.118,20.35,20.72,33.12,35.73,40.36,25.11,25.68,32.4,36.6,39.79
LPSN,4.26,104.67,101.83,2.84,3%,92.79,86.23,12,111.22,40,99.08,68,89.82,103,-1.83255,0.2757,1.17525,0.0789,51.88,72,99.37,130.67,111.81,62.55,88.35,101.87,125.92,107.41
IEP,34.4,66.77,63.93,2.84,4%,59.18,60.53,12,63.65,40,59.62,68,58.14,159,1.87132,0.3157,4.52635,0.1138,94.78,79.78,117.46,83.4,58.62,74.04,70.67,112.01,79.67,56.42
TECK,41.77,43.59,40.76,2.83,6%,39.61,38,12,42.63,40,40.12,68,39.37,103,0.51788,0.0677,2.216,0.0466,42.36,38.33,44.36,50.47,49.36,40.5,37.15,42.05,45.96,47.15
T,15.23,26.7,23.89,2.81,11%,24.69,22.02,12,26.95,40,23.39,68,25.3,103,2.3203,0.104,3.85396,0.0869,16.75,15.51,31.48,26.82,26.21,18.25,17.71,27.8,43.28,34.87
HON,208.73,21.27,18.46,2.81,13%,18.27,16.39,12,19.74,40,18.02,68,18.89,159,4.33618,0.0584,5.39826,0.1273,16.67,15.53,17.84,18.75,21.64,17.77,18.29,18.87,20.82,22.99
MS,84.96,26.69,23.89,2.8,10%,24.18,32.95,12,24.76,40,23.57,68,24.47,103,3.21878,0.032,4.71342,0.1248,21.03,20.01,23.2,24.48,26.78,20.43,19.94,24.43,28.24,29.14
MTTR,3.48,79.54,76.75,2.79,4%,73.29,78.98,12,79.73,40,72.07,103,73.53,194,0.64586,0.2914,0.7551,0.0833,55.23,67.74,60.67,61.44,69.36,62.45,77.95,70.5,70.95,77.34
ACGL,75.92,24.35,21.57,2.78,11%,21.21,29.39,12,22.56,40,21.29,68,21.09,131,8.44343,0.0135,-1.77368,0.6926,17.41,17.8,21.85,26.34,27.98,21.94,21.15,24.28,27.12,28.29
YINN,34.49,83.34,80.6,2.74,3%,79.19,84.58,12,82.34,40,78.7,103,76.16,194,0.78618,0.079,1.43427,0.0996,77.65,81.22,83.09,83.04,99.43,57.8,61.66,63.77,65.15,78.85
CNC,67.76,29.07,26.34,2.73,9%,26.45,24.9,12,28.38,40,26.36,68,26.66,159,2.63526,0.0387,4.19858,0.0814,11.77,27.94,27.57,25.85,29.56,16.06,25.49,27.85,27.56,30.7
BTBT,4.11,115.54,112.82,2.72,2%,111.84,120.79,12,113.68,40,110.75,131,107.58,194,-1.27993,0.0939,-0.65092,0.0854,104,102.56,104.5,106.46,103.91,115.2,117.05,118.42,117.38,114.35
WFC,42.74,28.97,26.25,2.72,9%,26.47,35.21,12,27.51,40,26.2,68,26.59,103,2.84672,0.0638,4.75732,0.1428,25.5,22.24,29.45,31.97,29.72,24.68,24.36,29.93,35.28,32.94
VZ,34.99,23.57,20.86,2.71,11%,21.33,18.6,12,22.4,40,20.42,68,21.76,103,2.61495,0.0624,4.18516,0.0875,16.46,16.87,22.01,19.26,21.97,17.19,17.1,21.16,33.64,29.34
TFC,32.48,39.1,36.43,2.67,7%,36.58,41.34,12,38.24,40,35.98,68,38,159,3.72053,0.0516,4.6967,0.0887,24.67,27.42,46.76,49.68,41.59,32.29,36.58,48.36,58.81,47.06
SLG,32.51,67,64.36,2.64,4%,63.63,70.76,12,65.66,40,63.98,68,63.47,103,3.26807,0.0898,3.44371,0.1089,66.26,89.05,70.14,64.7,53.35,80.51,86.49,72.86,68.51,56.24
CMCSA,42.01,24.93,22.3,2.63,11%,21.5,18.48,12,23.59,40,21.22,103,22.17,194,2.51268,0.1135,4.13672,0.156,13.85,14.67,27.45,25.23,29.19,19.65,18.54,25.48,25.6,29.66
GE,111.22,27.79,25.16,2.63,9%,24.97,21.52,12,26.75,40,24.67,68,25.68,159,2.80283,0.0912,4.17441,0.1114,18.61,19.05,20.82,23.27,28.33,20.36,20.9,23.6,26.08,30.4
X,24.63,44.15,41.52,2.63,6%,40.34,35.65,12,42.62,40,41.34,68,39.87,103,1.50463,0.0598,2.18048,0.0781,42.19,38.33,36.61,40.51,48.26,38.92,37.45,38.67,43.81,50.29
JNPR,31.46,27.84,25.22,2.62,9%,24.01,19.33,12,26.32,40,23.58,103,25.21,131,2.71627,0.0553,4.10251,0.0943,14.45,23.63,24.64,22.47,25.23,17.31,23.28,25.06,23.67,26.85
SJNK,24.56,13.98,11.37,2.61,19%,11.69,17.5,12,12.72,40,10.97,68,13.4,159,8.34005,0,8.46173,0,4.49,3.99,4.55,6.27,8.06,4.87,4.41,4.76,6.34,8.01
CLF,16.86,45.72,43.11,2.61,6%,42.38,39.05,12,45.04,40,42.82,68,42.17,103,1.14846,0.0449,2.10039,0.0776,39.32,34.23,39.46,40.66,53.73,40.31,36.08,40.61,43.92,53.67
AAL,18.8,38.44,35.83,2.61,7%,35.92,46.87,12,37.17,40,35.54,68,36.48,131,1.0139,0.0846,3.33589,0.1339,29.7,26.01,31.23,34.87,42.29,35.43,30.76,35.43,37.89,44.69
FAST,58.96,24.39,21.78,2.61,11%,21.78,31.74,12,21.77,40,21.78,131,22.69,194,2.94941,0.0219,4.44577,0.1195,14.37,15.44,18.17,22.92,25.86,16.15,18.26,20.28,25.21,27.92
ADT,6.32,38.28,35.69,2.59,7%,34.44,42.52,12,36.78,40,33.05,131,33.71,194,2.58589,0.0021,4.17675,0.3144,22.85,36.57,53.33,42.92,40.94,33,39.22,51.57,43.81,40.61
NOK,4.2,34.91,32.33,2.58,7%,30.18,53.19,12,34.91,40,31.46,68,29.57,103,1.14557,0.0017,2.21339,0.2233,17.38,22.37,28.03,25.72,30.81,15.86,18.66,23.46,22.8,26.52
TMUS,140.02,25.61,23.03,2.58,10%,22.47,19.22,12,24.25,40,21.85,131,21.83,194,2.32834,0.0844,3.46473,0.182,9.88,18.71,24.55,21.34,23.04,14.25,18.55,22.97,21.16,23.71
UAL,56.18,38,35.44,2.56,7%,35.08,48.36,12,36.39,40,35.13,68,34.98,159,1.20628,0.0876,3.16033,0.1226,39.09,31.52,33.21,36.08,41.58,38.2,32.14,35.8,38.25,43
NINE,4.9,99.5,96.95,2.55,3%,91.77,94.12,12,101.41,40,89.95,103,89.94,194,0.30794,0.0011,2.22968,0.0399,98.18,98.56,90.48,94.14,105.16,114.57,103.68,97.66,105,115.8
AA,34.69,50.76,48.21,2.55,5%,47.96,63,12,49.65,40,47.78,68,48.04,103,1.40931,0.0736,2.19721,0.0787,39.61,41.1,43.3,48.21,57.46,41.71,42.28,44,50.79,59.24
MET,59.24,29.12,26.58,2.54,9%,26.29,24.6,12,27.12,40,26.18,68,26.54,159,3.82819,0.043,4.86427,0.1218,19.93,23.1,34.9,33.42,28.53,23.94,25.8,33.33,35.26,30.19
LUV,39.18,32.25,29.71,2.54,8%,29.38,29.32,12,30.59,40,29.28,68,29.62,159,1.23991,0.0924,3.66406,0.1382,17.25,20.67,28.32,28.47,32.12,28.47,27.79,30.21,31.06,33.82
DISH,7.25,97.2,94.67,2.53,3%,95.32,82.37,12,98.37,40,94.66,68,96.88,159,-0.94848,0.1901,3.05881,0.0827,45.78,49.35,73.91,66.71,61.12,70.54,65.38,77.65,70.59,64.99
DD,71.34,27.9,25.37,2.53,9%,24.02,22.79,12,26.32,40,23.55,103,24.8,194,4.57217,0.077,4.49419,0.1542,19.78,17.31,27.89,27.16,29.88,22.35,20.83,25.03,25.33,29.14
ASX,7.67,28.51,25.99,2.52,9%,25.84,27.93,12,28.72,40,25.19,68,27.37,159,0,0,0,0,44.36,35.35,33.8,32.09,36.71,34.73,28.4,27.62,27.96,33.09
CAT,252.85,28.69,26.18,2.51,9%,25.86,24.13,12,27.54,40,25.87,68,25.86,131,2.30314,0.0757,4.09778,0.1122,17.89,22.18,27.83,29.53,30.8,22.88,24.8,28.62,30.17,30.97
HUM,437.22,25.85,23.34,2.51,10%,22.83,24.05,12,24.67,40,22.91,68,22.72,131,1.75626,0.1066,3.78266,0.1244,14.82,43.65,31.16,29.9,27.1,16.59,35.9,28.53,29.01,27.98
CNHI,14.73,32.38,29.89,2.49,8%,28.61,29.63,12,33.36,40,28.87,68,27.98,159,0,0,0,0,20.68,28.18,29.54,33.18,34.83,22.49,26.92,29.06,31.33,32.04
ELV,434.92,25.51,23.03,2.48,10%,23.34,31.94,12,24.55,40,23.17,68,23.76,159,2.63843,0.1422,4.74108,0.0928,16.52,31.57,28.93,26.44,27.24,19.96,28.98,27.76,27.04,28.64
JPST,50.02,19.58,17.14,2.44,12%,14.52,20.07,12,19.41,40,13.6,103,12.06,194,0,0,0,0,0.44,0.41,1.36,1.36,1.11,0.49,0.55,1.02,1.04,0.87
NCLH,22.41,48.88,46.45,2.43,5%,45.92,41.64,12,47.91,40,45.94,68,45.87,159,0.37988,0.0493,1.80036,0.0958,45.92,50.17,46.02,49.93,59.77,52.16,53.07,50.57,55.45,63
ABBV,135.57,24.18,21.75,2.43,10%,21.52,17.82,12,22.96,40,21.42,68,21.66,131,1.90844,0.0927,4.59197,0.12,16.84,16.07,23.79,20.79,22.01,19.59,19.44,23.12,21.64,23.74
BP,35.91,26.71,24.31,2.4,9%,23.96,21.82,12,26.15,40,23.94,68,23.97,103,2.55901,0.0391,3.85052,0.0781,20.02,18.37,25.96,29.19,29.67,19.08,18.59,22.07,24.94,25.79
SPSB,29.36,9.37,6.97,2.4,26%,6.44,14.87,12,7.42,40,5.86,131,8.99,222,0,0,0,0,1.92,1.86,2.3,2.6,2.8,2.15,2.42,2.46,2.81,2.85
GM,39.97,32.5,30.12,2.38,7%,29.68,28,12,31.64,40,29.74,68,29.65,103,1.4211,0.0673,2.91398,0.1089,11.14,18.78,29.52,35.03,37.42,21.81,23.31,30.96,34.79,37.21
LVS,58.48,34.91,32.54,2.37,7%,32.31,38.34,12,33.59,40,32.21,68,32.52,159,2.01412,0.0422,3.93554,0.0823,37.23,28.69,32.27,30.2,40.4,32.88,28,32.56,32,41.15
RIG,8.22,58.25,55.89,2.36,4%,56.2,50.16,12,57.02,40,56.54,131,55.71,194,0.51595,0.0895,1.56467,0.0757,57.36,62.31,57.15,61.68,71.44,64.58,59.8,58.5,75.25,76.25
AUPH,11.4,99.89,97.57,2.32,2%,96.11,102.88,12,98.83,40,95.59,103,84.39,194,-2.95786,0.0416,-0.0049,0.0124,37.02,38.68,48.55,59.13,78.42,57.24,48.69,58.85,68.34,79.12
PARA,16.83,56.59,54.27,2.32,4%,52.19,49.95,12,59.71,40,53.14,68,49.95,159,0.38495,0.0844,1.32982,0.1035,26.25,27.69,72.25,61.6,56.59,40.4,38.94,66.16,59.1,57.03
SCHF,35.36,14.29,11.97,2.32,16%,11.18,18.94,12,12.64,40,10.91,103,14.04,194,1.61341,0,9.09183,0,14.37,14.05,13.07,13.6,18,10.93,10.77,10.49,11.98,15.85
LLY,439.39,27.85,25.55,2.3,8%,24.12,26.71,12,27.77,40,25.11,68,23.66,103,2.63478,0.0689,3.47102,0.0885,26.94,21.71,24.65,23.31,25.45,26.62,23.87,26.58,33.44,31.5
ACHC,79.05,33.81,31.52,2.29,7%,29.62,35.81,12,33.1,40,31.05,68,26.22,159,0.80287,0.2503,0.41641,0.1986,26.78,28.24,28.39,28.84,28.99,29.97,31.56,30.91,31.49,32.66
MDLZ,70.89,19.22,16.93,2.29,12%,16.54,16.5,12,18.54,40,16.49,68,16.64,159,3.3895,0.1101,4.81111,0.2358,14.03,11.52,16.21,16.38,17.56,15.68,14.09,17.05,17.95,19.49
KNX,56.67,32.3,30.01,2.29,7%,29.72,38.03,12,30.26,40,29.4,131,29.21,159,2.56442,0.0014,3.81767,0.0948,22.54,25.26,26.62,29.13,30.29,29.82,29.63,30.8,33.29,33.97
WDC,38.36,38.93,36.65,2.28,6%,35.8,33.81,12,38.27,40,35.5,103,36.4,194,1.36531,0.0643,2.6292,0.0582,19.51,22.02,38.83,39.64,42.65,25,26,36.92,38.38,43.42
DICE,46.77,22.23,19.99,2.24,10%,16.85,22.83,12,22.02,40,19.39,68,15.65,103,0,0,0,0,6.59,128.83,86.07,72.03,93.88,9.59,71.92,65.24,66.31,85.5
UMC,7.85,31.09,28.85,2.24,7%,26.95,32.79,12,30.49,40,26.28,103,27.75,159,6.98145,0.001,3.63956,0.1231,17.54,20.93,29.39,29.05,38.32,19.91,20.87,25.96,27.05,34.06
EMR,91.8,23.37,21.14,2.23,10%,20.74,18.2,12,22.71,40,20.69,68,20.88,159,4.24923,0.0539,4.37154,0.1255,19.15,19.68,21.24,23.36,25.77,19.25,20.35,22.11,24.01,25.78
HPP,5.24,81.68,79.48,2.2,3%,76.62,75.51,12,83.87,40,78.19,68,72.89,159,0,0,0,0,91.34,89.79,84.25,71.31,58.17,104.97,96.87,89.96,78.07,63.27
MMM,101.92,29.94,27.75,2.19,7%,25.72,21.86,12,31.49,40,27.28,68,24.98,103,2.91628,0.0468,4.26832,0.1302,32.96,27.04,31.3,29.4,29.46,29.36,26.97,30.11,32.6,31.43
MOS,36.57,44.18,41.99,2.19,5%,40.54,37.25,12,43.17,40,41.6,68,40.04,103,1.05704,0.0637,2.40412,0.0884,37.63,35.74,40.5,39.02,43.17,40.75,38.33,43.1,49.3,49.69
KKR,56.31,29.66,27.5,2.16,7%,27.08,27.05,12,29.39,40,27.06,68,27.11,159,3.33825,0.0919,4.30182,0.1536,27.46,28.85,30.01,33.14,38.52,28.08,26.92,30.29,34.51,38.27
PLTR,16.49,74.8,72.65,2.15,3%,70.55,60.81,12,76.55,40,68.24,131,65.97,159,-1.28974,0.0704,-0.64306,0.0873,43.1,52.97,74.86,74.28,66.53,57.48,63.28,75.12,80.62,71.26
FRSH,17.09,55.16,53.04,2.12,4%,51.44,57.22,12,54.43,40,49.67,131,49.6,159,7.07696,0.0025,1.23548,0.3843,48.29,44.29,43.76,45.74,56.94,46.03,46.01,51.96,53.17,63.81
BAC,29.02,27.94,25.83,2.11,8%,25.54,37.66,12,26.87,40,25.72,68,25.46,103,2.59915,0.0788,4.6457,0.1331,20.95,19.61,25.38,27.88,29.14,22.33,22.32,26.49,29.62,30.59
KGC,4.82,39.71,37.6,2.11,5%,37.52,39.44,12,38.68,40,37.44,131,39.02,194,-0.30256,0.1206,-0.99369,0.1663,37.98,32.75,33.02,37.26,45.34,40.21,35.82,36.07,39.69,47.27
RF,18.71,35.4,33.29,2.11,6%,32.74,40.04,12,33.75,40,32.15,131,34,194,3.64291,0.0058,6.01393,0.1052,22.45,26.89,36.79,37.13,34.01,27.08,30.2,39.26,51.53,43.16
PG,148.08,18.2,16.09,2.11,12%,16.15,16.18,12,17.42,40,15.85,68,16.3,103,3.23955,0.0583,5.31158,0.1322,14.67,13.85,15.16,15.15,17.52,16.12,15.71,15.56,16.47,18.72
SABR,3.8,77.18,75.09,2.09,3%,72.16,75.94,12,77.62,40,71.13,103,74.32,194,0.81639,0.1713,1.29008,0.2369,64.47,66.8,64.12,64.98,67.37,70.27,72.48,77.39,73.73,72.75
UNH,462.89,24.3,22.21,2.09,9%,21.91,30.74,12,23.14,40,21.95,68,21.81,159,2.60905,0.1114,4.68887,0.1257,14.59,28.24,22.33,22.6,22.96,15.66,24.35,22.41,26.05,25.9
SIRI,4.78,67.31,65.23,2.08,3%,60.95,65.18,12,76.96,40,63.67,68,54.5,159,4.08545,0.2853,3.86994,0.2457,39.56,41.33,40.21,39.91,31.03,55.99,51.53,48.72,44.9,35.37
BB,4.92,45.09,43.03,2.06,5%,45,48.54,12,43.15,40,42.37,68,51.25,159,-0.59574,0.1759,0.33509,0.168,64.19,50.79,47.21,51,51.88,66.17,53.32,48.15,52.49,53.5
ABR,15.69,34.01,31.96,2.05,6%,34.23,39.24,12,32.15,40,31.9,68,35.32,103,0.29263,0.0022,6.47008,0.1311,28.31,40.51,40.53,39.87,38.48,31.91,38.15,42.17,42.44,40.23
NLY,19.66,25.92,23.88,2.04,8%,25.73,24.8,12,24.9,40,23.63,68,26.71,103,3.21074,0.0864,4.56729,0.0297,25.15,22.71,25.19,27.68,35.65,25.11,23.57,26.85,35.53,39.45
PM,98.6,18.26,16.22,2.04,11%,16.27,24.32,12,17.25,40,15.86,68,17.26,159,3.74747,0.0685,5.24696,0.1423,11.12,11.11,17.18,17.31,19.56,13.77,15.38,18.02,18.41,21.18
